id	device	data	time_sent	time_saved
4955	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.57943344, ""pressure"": 99842.4375, ""humidity"": 17.48561478}"	2025-03-04 14:25:26	2025-03-04 14:25:26
4956	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.19909477, ""pressure"": 99822.19531, ""humidity"": 40.25765228}"	2025-03-04 14:25:28	2025-03-04 14:25:28
4957	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:25:38	2025-03-04 14:25:38
4958	esp32/light	"{""analog_read"": 3246, ""test_name"": ""DummyConst5""}"	2025-03-04 14:25:44	2025-03-04 14:25:44
4959	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 24.44939995, ""pressure"": 99833.8125, ""humidity"": 18.58546448, ""iaq"": 0}"	2025-03-04 14:30:26	2025-03-04 14:30:26
4960	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.02095032, ""pressure"": 99810.64063, ""humidity"": 41.24368286, ""iaq"": 0}"	2025-03-04 14:30:29	2025-03-04 14:30:29
4961	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:30:38	2025-03-04 14:30:38
4962	esp32/light	"{""analog_read"": 3244, ""test_name"": ""DummyConst5""}"	2025-03-04 14:30:44	2025-03-04 14:30:44
4963	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 24.57608604, ""pressure"": 99812.1875, ""humidity"": 18.48053932, ""iaq"": 0}"	2025-03-04 14:35:26	2025-03-04 14:35:26
4964	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.01834488, ""pressure"": 99792.88281, ""humidity"": 41.7910881, ""iaq"": 0}"	2025-03-04 14:35:29	2025-03-04 14:35:29
4965	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:35:38	2025-03-04 14:35:38
4966	esp32/light	"{""analog_read"": 3242, ""test_name"": ""DummyConst5""}"	2025-03-04 14:35:44	2025-03-04 14:35:44
4967	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 23.71544266, ""pressure"": 99813.66406, ""humidity"": 18.40856361, ""iaq"": 0}"	2025-03-04 14:40:27	2025-03-04 14:40:27
4968	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.03839874, ""pressure"": 99793.10938, ""humidity"": 42.0514679, ""iaq"": 17.47034836}"	2025-03-04 14:40:30	2025-03-04 14:40:30
4969	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:40:38	2025-03-04 14:40:38
4970	esp32/light	"{""analog_read"": 3243, ""test_name"": ""DummyConst5""}"	2025-03-04 14:40:44	2025-03-04 14:40:44
4971	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 23.75349045, ""pressure"": 99814.33594, ""humidity"": 18.36841011, ""iaq"": 0}"	2025-03-04 14:45:27	2025-03-04 14:45:27
4972	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.08871841, ""pressure"": 99791.3125, ""humidity"": 41.94467163, ""iaq"": 50.17402649}"	2025-03-04 14:45:30	2025-03-04 14:45:30
4973	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:45:38	2025-03-04 14:45:38
4974	esp32/light	"{""analog_read"": 3242, ""test_name"": ""DummyConst5""}"	2025-03-04 14:45:44	2025-03-04 14:45:44
4975	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 23.59097862, ""pressure"": 99815.08594, ""humidity"": 18.4094429, ""iaq"": 0}"	2025-03-04 14:50:27	2025-03-04 14:50:28
4976	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.10632515, ""pressure"": 99795.35938, ""humidity"": 41.70290756, ""iaq"": 50.02365494}"	2025-03-04 14:50:30	2025-03-04 14:50:31
4977	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:50:38	2025-03-04 14:50:39
4978	esp32/light	"{""analog_read"": 3242, ""test_name"": ""DummyConst5""}"	2025-03-04 14:50:44	2025-03-04 14:50:44
4979	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.21332359, ""pressure"": 99815.33594, ""humidity"": 17.13376999, ""iaq"": 0}"	2025-03-04 14:55:28	2025-03-04 14:55:28
4980	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.06352615, ""pressure"": 99791.92969, ""humidity"": 41.99968719, ""iaq"": 50}"	2025-03-04 14:55:31	2025-03-04 14:55:31
4981	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 14:55:38	2025-03-04 14:55:39
4982	esp32/light	"{""analog_read"": 3243, ""test_name"": ""DummyConst5""}"	2025-03-04 14:55:44	2025-03-04 14:55:44
4983	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.37102699, ""pressure"": 99822.54688, ""humidity"": 16.09588623, ""iaq"": 0}"	2025-03-04 15:00:28	2025-03-04 15:00:28
4984	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.04839134, ""pressure"": 99789.39063, ""humidity"": 42.36917496, ""iaq"": 50}"	2025-03-04 15:00:31	2025-03-04 15:00:31
4985	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:00:38	2025-03-04 15:00:39
4986	esp32/light	"{""analog_read"": 3243, ""test_name"": ""DummyConst5""}"	2025-03-04 15:00:44	2025-03-04 15:00:45
4987	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.16277695, ""pressure"": 99806.39844, ""humidity"": 15.56090832, ""iaq"": 0}"	2025-03-04 15:05:29	2025-03-04 15:05:29
4988	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.14379692, ""pressure"": 99791.01563, ""humidity"": 42.26411057, ""iaq"": 51.57131577}"	2025-03-04 15:05:32	2025-03-04 15:05:32
4989	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:05:39	2025-03-04 15:05:39
4990	esp32/light	"{""analog_read"": 3242, ""test_name"": ""DummyConst5""}"	2025-03-04 15:05:44	2025-03-04 15:05:45
4991	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.92161942, ""pressure"": 99805.60156, ""humidity"": 15.90074635, ""iaq"": 0}"	2025-03-04 15:10:29	2025-03-04 15:10:29
4992	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.20632744, ""pressure"": 99788.07813, ""humidity"": 42.18002701, ""iaq"": 51.70141602}"	2025-03-04 15:10:32	2025-03-04 15:10:32
4993	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:10:39	2025-03-04 15:10:39
4994	esp32/light	"{""analog_read"": 3243, ""test_name"": ""DummyConst5""}"	2025-03-04 15:10:44	2025-03-04 15:10:45
4995	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 24.00761986, ""pressure"": 99801.46094, ""humidity"": 15.93509007, ""iaq"": 3.25837326}"	2025-03-04 15:15:30	2025-03-04 15:15:30
4996	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.20382309, ""pressure"": 99780.375, ""humidity"": 41.90163422, ""iaq"": 51.1480751}"	2025-03-04 15:15:33	2025-03-04 15:15:33
4997	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:15:39	2025-03-04 15:15:39
4998	esp32/light	"{""analog_read"": 3242, ""test_name"": ""DummyConst5""}"	2025-03-04 15:15:44	2025-03-04 15:15:45
